Removed Member From Class: ClassName=Sheet1 Member=P3
Added Pin To Net: NetName=GND Pin=H?-3
Added Pin To Net: NetName=GND Pin=H?-4
Added Pin To Net: NetName=GND Pin=H?-7
Added Pin To Net: NetName=GND Pin=H?-8
Added Pin To Net: NetName=GND Pin=H?-11
Added Pin To Net: NetName=GND Pin=H?-12
Added Pin To Net: NetName=GND Pin=H?-15
Added Pin To Net: NetName=GND Pin=H?-16
Added Pin To Net: NetName=VCC5V Pin=H?-28
Added Pin To Net: NetName=VCC5V Pin=H?-30
Added Pin To Net: NetName=GND Pin=H?-32
Added Pin To Net: NetName=VSP Pin=H?-33
Added Pin To Net: NetName=VCC Pin=H?-34
Added Pin To Net: NetName=VSP Pin=H?-35
Added Pin To Net: NetName=VCC Pin=H?-36
Added Pin To Net: NetName=VSN Pin=H?-37
Added Pin To Net: NetName=IOVCC Pin=H?-38
Added Pin To Net: NetName=VSN Pin=H?-39
Added Pin To Net: NetName=IOVCC Pin=H?-40
